msa_code,msa_name
10180,"abilene, tx"
10380,"aguadilla-isabela, pr"
10420,"akron, oh"
10500,"albany, ga"
10540,"albany, or"
10580,"albany-schenectady-troy, ny"
10740,"albuquerque, nm"
10780,"alexandria, la"
10900,"allentown-bethlehem-easton, pa-nj"
11020,"altoona, pa"
11100,"amarillo, tx"
11180,"ames, ia"
11260,"anchorage, ak"
11460,"ann arbor, mi"
11500,"anniston-oxford-jacksonville, al"
11540,"appleton, wi"
11640,"arecibo, pr"
11700,"asheville, nc"
12020,"athens-clarke county, ga"
12060,"atlanta-sandy springs-roswell, ga"
12100,"atlantic city-hammonton, nj"
12220,"auburn-opelika, al"
12260,"augusta-richmond county, ga-sc"
12420,"austin-round rock, tx"
12540,"bakersfield, ca"
12580,"baltimore-columbia-towson, md"
12620,"bangor, me"
12700,"barnstable town, ma"
12940,"baton rouge, la"
12980,"battle creek, mi"
13020,"bay city, mi"
13140,"beaumont-port arthur, tx"
13220,"beckley, wv"
13380,"bellingham, wa"
13460,"bend-redmond, or"
13740,"billings, mt"
13780,"binghamton, ny"
13820,"birmingham-hoover, al"
13900,"bismarck, nd"
13980,"blacksburg-christiansburg-radford, va"
14010,"bloomington, il"
14020,"bloomington, in"
14100,"bloomsburg-berwick, pa"
14260,"boise city, id"
14460,"boston-cambridge-newton, ma-nh"
14500,"boulder, co"
14540,"bowling green, ky"
14740,"bremerton-silverdale, wa"
14860,"bridgeport-stamford-norwalk, ct"
15180,"brownsville-harlingen, tx"
15260,"brunswick, ga"
15380,"buffalo-cheektowaga-niagara falls, ny"
15500,"burlington, nc"
15540,"burlington-south burlington, vt"
15680,"california-lexington park, md"
15940,"canton-massillon, oh"
15980,"cape coral-fort myers, fl"
16020,"cape girardeau, mo-il"
16060,"carbondale-marion, il"
16180,"carson city, nv"
16220,"casper, wy"
16300,"cedar rapids, ia"
16540,"chambersburg-waynesboro, pa"
16580,"champaign-urbana, il"
16620,"charleston, wv"
16700,"charleston-north charleston, sc"
16740,"charlotte-concord-gastonia, nc-sc"
16820,"charlottesville, va"
16860,"chattanooga, tn-ga"
16940,"cheyenne, wy"
16980,"chicago-naperville-elgin, il-in-wi"
17020,"chico, ca"
17140,"cincinnati, oh-ky-in"
17300,"clarksville, tn-ky"
17420,"cleveland, tn"
17460,"cleveland-elyria, oh"
17660,"coeur d'alene, id"
