occ_code,occ_name,occ_cat_name
0,All occupations,All occupation categories
10,Chief executives and legislators/public administration,Management Occupations
20,General and Operations Managers,Management Occupations
30,"Managers in Marketing, Advertising, and Public Relations",Management Occupations
100,Administrative Services Managers,Management Occupations
110,Computer and Information Systems Managers,Management Occupations
120,Financial Managers,Management Occupations
130,Human Resources Managers,Management Occupations
140,Industrial Production Managers,Management Occupations
150,Purchasing Managers,Management Occupations
160,"Transportation, Storage, and Distribution Managers",Management Occupations
205,"Farmers, Ranchers, and Other Agricultural Managers",Management Occupations
220,Constructions Managers,Management Occupations
230,Education Administrators,Management Occupations
300,Architectural and Engineering Managers,Management Occupations
310,Food Service and Lodging Managers,Management Occupations
320,Funeral Directors,Management Occupations
330,Gaming Managers,Management Occupations
350,Medical and Health Services Managers,Management Occupations
360,Natural Science Managers,Management Occupations
410,"Property, Real Estate, and Community Association Managers",Management Occupations
420,Social and Community Service Managers,Management Occupations
430,"Managers, nec (including Postmasters)",Management Occupations
500,"Agents and Business Managers of Artists, Performers, and Athletes",Business and Financial Operations Occupations
510,"Buyers and Purchasing Agents, Farm Products",Business and Financial Operations Occupations
520,"Wholesale and Retail Buyers, Except Farm Products",Business and Financial Operations Occupations
530,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Business and Financial Operations Occupations
540,"Claims Adjusters, Appraisers, Examiners, and Investigators",Business and Financial Operations Occupations
560,"Compliance Officers, Except Agriculture",Business and Financial Operations Occupations
600,Cost Estimators,Business and Financial Operations Occupations
620,"Human Resources, Training, and Labor Relations Specialists",Business and Financial Operations Occupations
700,Logisticians,Business and Financial Operations Occupations
710,Management Analysts,Business and Financial Operations Occupations
720,Meeting and Convention Planners,Business and Financial Operations Occupations
730,Other Business Operations and Management Specialists,Business and Financial Operations Occupations
800,Accountants and Auditors,Business and Financial Operations Occupations
810,Appraisers and Assessors of Real Estate,Business and Financial Operations Occupations
820,Budget Analysts,Business and Financial Operations Occupations
830,Credit Analysts,Business and Financial Operations Occupations
840,Financial Analysts,Business and Financial Operations Occupations
850,Personal Financial Advisors,Business and Financial Operations Occupations
860,Insurance Underwriters,Business and Financial Operations Occupations
900,Financial Examiners,Business and Financial Operations Occupations
910,Credit Counselors and Loan Officers,Business and Financial Operations Occupations
930,"Tax Examiners and Collectors, and Revenue Agents",Business and Financial Operations Occupations
940,Tax Preparers,Business and Financial Operations Occupations
950,"Financial Specialists, nec",Business and Financial Operations Occupations
1000,Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,Computer and mathematical occupations
1010,Computer Programmers,Computer and mathematical occupations
1020,"Software Developers, Applications and Systems Software",Computer and mathematical occupations
1050,Computer Support Specialists,Computer and mathematical occupations
1060,Database Administrators,Computer and mathematical occupations
1100,Network and Computer Systems Administrators,Computer and mathematical occupations
1200,Actuaries,Computer and mathematical occupations
1220,Operations Research Analysts,Computer and mathematical occupations
1230,Statisticians,Computer and mathematical occupations
1240,"Mathematical science occupations, nec",Computer and mathematical occupations
1300,"Architects, Except Naval",Architecture and Engineering Occupations
1310,"Surveyors, Cartographers, and Photogrammetrists",Architecture and Engineering Occupations
1320,Aerospace Engineers,Architecture and Engineering Occupations
1350,Chemical Engineers,Architecture and Engineering Occupations
1360,Civil Engineers,Architecture and Engineering Occupations
1400,Computer Hardware Engineers,Architecture and Engineering Occupations
1410,Electrical and Electronics Engineers,Architecture and Engineering Occupations
1420,Environmental Engineers,Architecture and Engineering Occupations
1430,"Industrial Engineers, including Health and Safety",Architecture and Engineering Occupations
1440,Marine Engineers and Naval Architects,Architecture and Engineering Occupations
1450,Materials Engineers,Architecture and Engineering Occupations
1460,Mechanical Engineers,Architecture and Engineering Occupations
1520,"Petroleum, mining and geological engineers, including mining safety engineers",Architecture and Engineering Occupations
1530,"Engineers, nec",Architecture and Engineering Occupations
1540,Drafters,Architecture and Engineering Occupations
1550,"Engineering Technicians, Except Drafters",Architecture and Engineering Occupations
1560,Surveying and Mapping Technicians,Architecture and Engineering Occupations
1600,Agricultural and Food Scientists,"Life, Physical, and Social Science Occupations"
1610,Biological Scientists,"Life, Physical, and Social Science Occupations"
1640,Conservation Scientists and Foresters,"Life, Physical, and Social Science Occupations"
1650,"Medical Scientists, and Life Scientists, All Other","Life, Physical, and Social Science Occupations"
1700,Astronomers and Physicists,"Life, Physical, and Social Science Occupations"
1710,Atmospheric and Space Scientists,"Life, Physical, and Social Science Occupations"
1720,Chemists and Materials Scientists,"Life, Physical, and Social Science Occupations"
1740,Environmental Scientists and Geoscientists,"Life, Physical, and Social Science Occupations"
1760,"Physical Scientists, nec","Life, Physical, and Social Science Occupations"
1800,Economists and market researchers,"Life, Physical, and Social Science Occupations"
1810,,"Life, Physical, and Social Science Occupations"
1820,Psychologists,"Life, Physical, and Social Science Occupations"
1830,Urban and Regional Planners,"Life, Physical, and Social Science Occupations"
1840,"Social Scientists, nec","Life, Physical, and Social Science Occupations"
1900,Agricultural and Food Science Technicians,"Life, Physical, and Social Science Occupations"
1910,Biological Technicians,"Life, Physical, and Social Science Occupations"
1920,Chemical Technicians,"Life, Physical, and Social Science Occupations"
1930,"Geological and Petroleum Technicians, and Nuclear Technicians","Life, Physical, and Social Science Occupations"
1960,"Life, Physical, and Social Science Technicians, nec","Life, Physical, and Social Science Occupations"
1980,"Professional, Research, or Technical Workers, nec","Life, Physical, and Social Science Occupations"
2000,Counselors,Community and Social Service Occupations
2010,Social Workers,Community and Social Service Occupations
2020,"Community and Social Service Specialists, nec",Community and Social Service Occupations
2040,Clergy,Community and Social Service Occupations
2050,"Directors, Religious Activities and Education",Community and Social Service Occupations
2060,"Religious Workers, nec",Community and Social Service Occupations
